Threads帳號,Threads連結,品牌名稱,類別,品牌介紹,品牌官網/購買連結
garlic77.tw,https://www.threads.com/@garlic77.tw,丁丁農產行,食品農產,雲林深耕13年蒜頭工廠，蒜頭、紅蔥頭、地瓜、花生，自產自銷產地直送,https://myship.7-11.com.tw
goldenarcgallery,https://www.threads.com/@goldenarcgallery,Golden Arc,藝術文創,手工客製油畫與水彩，寵物、人像、風景皆可，照片變永久珍藏畫作,https://instagram.com/leo_contemporary_art_studio
grannys_pet,https://www.threads.com/@grannys_pet,阿嬤養ㄟ,寵物用品,天然寵物零食與用品，用阿嬤的心作毛孩點心,
grapesbb888,https://www.threads.com/@grapesbb888,萬元伯葡萄,食品農產,彰化溪湖30年耕作，溫室巨峰葡萄150天生長期，2025縣評鑑冠軍，產季4-6月,
hahababyselect,https://www.threads.com/@hahababyselect,hahababy,包袋皮革,手作包品牌，十幾道工序製作，滿版布料每件獨一無二,https://linktr.ee/hahababyselect
happyhome.tw,https://www.threads.com/@happyhome.tw,家而適,家具燈飾,台灣製造免釘鑽無痕收納，首創2in1雙無痕膠片，不鏽鋼十年保固,https://yes566.com.tw
hello.herset,https://www.threads.com/@hello.herset,HERSET,保養美妝,私密護理・敏感肌專研保養品牌,
herryhsieh_leather,https://www.threads.com/@herryhsieh_leather,Herry Hsieh Leather,包袋皮革,三峽北大個人皮件工作室，全手縫訂製皮件，一對一皮件課程,https://herryhsiehleather.blogspot.com
housestyle1989,https://www.threads.com/@housestyle1989,HOUSESTYLE 好時代衛浴,家具燈飾,創立1989年逾30年衛浴改造，台灣製造浴櫃鏡櫃量身訂製，台北/桃園門市,https://joy.link/housestyle1989
hoyi_furniture,https://www.threads.com/@hoyi_furniture,HOYI 好寓,家具燈飾,新北林口家具店，沙發、床墊、床組，陪你不將就的居家選品,https://linktr.ee/hoyi.home.2025
itch.fingers__embroidery,https://www.threads.com/@itch.fingers__embroidery,itch fingers 手很癢刺繡,藝術文創,手工刺繡創作與客製服務，在布上創作，專注針線之美,
jhmission,https://www.threads.com/@jhmission,JH Mission,文具玩具,手作材料與工具專賣，匯集超過2萬種品項，瑞士elna縫紉機代理商,https://jhmission.com
jingyu_crystal,https://www.threads.com/@jingyu_crystal,晶羽水晶礦石,飾品珠寶,天然水晶、翡翠、琥珀蜜蠟零售批發，台中實體店,
jun_life_2024,https://www.threads.com/@jun_life_2024,Jun life 手作,藝術文創,MIT手作嬰幼兒用品，圍兜、奶嘴鍊、平安符袋、幼兒園夾式手帕,https://shopee.tw/jun2706
ka_waa1,https://www.threads.com/@ka_waa1,WAWA Handmade,藝術文創,鉤織手作品牌，手工製作各式鉤針作品,https://myship.7-11.com.tw
king_and_sharlene,https://www.threads.com/@king_and_sharlene,金夏琳手感創做工作室,飾品珠寶,軟蠟輕金工，20年職人，手作銀飾客製、軟蠟雕刻課程,https://kingsharlene.com
kirostudio165,https://www.threads.com/@kirostudio165,岐路製物所,藝術文創,高雄鳳山陶藝選物空間，融合陶藝、設計、手作，聚集不同創作者,https://instagram.com/art___song
laoshan_collector,https://www.threads.com/@laoshan_collector,老三香室,香氛蠟燭,印度老山檀香、沉香原木香品及肖楠木精油，與陶藝家聯名合作香爐,https://pinkoi.com/store/laoshan-collector
liaoichun,https://www.threads.com/@liaoichun,廖翊均客製機能服裝,服飾,台灣製客製化機能服裝，自行車衣、三鐵衣、慢跑衣、羽球衣、制服,
lin_mimi948,https://www.threads.com/@lin_mimi948,購億思 GO is 生活館,寵物用品,寵物到嬰幼兒生活好物，處方飼料、零食、燈具收納、居家百貨,https://go-is-lifemart8888.com
love_beunen,https://www.threads.com/@love_beunen,白永恩神父基金會,其他,50年非營利，服務極重度障礙者、偏鄉身障長輩、南迴線家庭,https://beunen.org.tw
lumo.ef,https://www.threads.com/@lumo.ef,LUMO 禾日微光,香氛蠟燭,MIT茶香系列香氛品牌，結合台灣茶文化與日系精油調香，香氛噴霧、護手霜、擴香,https://lumoef.com
madame.du.cartonnage,https://www.threads.com/@madame.du.cartonnage,布太太,藝術文創,優雅法式布盒，面紙盒、收納架、布相框，可客製挑布，台中潭子,https://pinkoi.com/store/madameducartonnage
madoupim,https://www.threads.com/@madoupim,PIM_柚一村,食品農產,台南麻豆農業轉型，柚皮黑糖磚，讓醜柚子變成有故事的伴手禮,https://madoupim.com
masking_tw,https://www.threads.com/@masking_tw,Masking 膜靚,保養美妝,MIT面膜品牌，全球美妝大賞金獎、法國最佳面膜獎，七項國際專利,https://instabio.cc/masking
mdios_taiwan,https://www.threads.com/@mdios_taiwan,迪奧斯,寢具床墊,天然乳膠床墊與智能電動床，ISPA國際認證，保固10年不塌陷,https://mdios.net
mianhuatangshouzuo,https://www.threads.com/@mianhuatangshouzuo,棉花糖手作,藝術文創,療癒系扭扭棒手作，不凋謝花束、小盆栽、吊飾，可客製,https://tw.shp.ee/tsxNTQR
minesk8club,https://www.threads.com/@minesk8club,Mine Skate Club,運動保健,台灣製造滑板裝備品牌，板身MIT，贊助滑板選手,
minghuang_,https://www.threads.com/@minghuang_,銘皇山葵農場,食品農產,南投自產自銷山葵，全台獨家山葵醋、山葵酵素、山葵棒，生鮮研磨山葵泥,https://linktr.ee/minghuang.com
mooleather1,https://www.threads.com/@mooleather1,牳瑪皮革工作室,包袋皮革,台南皮革工作室，皮革材料包、DIY教學、客製企業禮品,https://linktr.ee/mooleather1
navjack.tw,https://www.threads.com/@navjack.tw,NavJack,3C電子,台灣100% MIT設計製造iPhone防摔殼，七項專利,https://navjackshop.com
nu_dream_jewelry,https://www.threads.com/@nu_dream_jewelry,nu dream,飾品珠寶,中研院研究員轉型金工品牌，手工珠寶飾品訂製，蠟雕金工工藝,https://instagram.com/nu_dream_jewelry
olysebeauty,https://www.threads.com/@olysebeauty,歐莉絲化粧品,保養美妝,MIT保養品，自營GMP工廠，無添加系列（無酒精、色素、香料、防腐劑），900+醫美診所合作,https://linktr.ee/olysebeauty
oterrific.tw,https://www.threads.com/@oterrific.tw,O'Terrific 歐特莉菲,保養美妝,敏感肌保養品牌，創立第9年，MIT無添加，專為敏弱肌設計,https://s.shopee.tw/1LaifNoezA
parenting.selection,https://www.threads.com/@parenting.selection,親子天下Shopping,文具玩具,親子教育電商第一品牌，父母選物靠山，陪伴孩子成長好物,https://linktr.ee/parenting.selection
passionking.tw,https://www.threads.com/@passionking.tw,沛鮮王果,食品農產,高雄優質鮮果，專業培育「都香3號」百香果，企業禮盒/批發/團購,https://linkgoods.com/passionking
pawfy_tw,https://www.threads.com/@pawfy_tw,PAWFY S.普奧非,寵物用品,精緻愛寵生活品牌，苗栗自種純淨貓薄荷，貓雪茄等寵物用品,https://pawfy.tw
procca_official,https://www.threads.com/@procca_official,procca,服飾,MIT台灣製造運動服飾，客製化設計，羽球等運動服,https://instagram.com/procca_official
rabbitmama.service,https://www.threads.com/@rabbitmama.service,兔子媽媽,服飾,台灣製造生活選物店，睡衣、毛巾、雨具、襪子，工程師轉職創業,https://shopee.tw/rabbitmamashopee
ribbon.king,https://www.threads.com/@ribbon.king,緞帶王,藝術文創,亞洲首座緞帶主題觀光工廠，彰化彰濱，DIY體驗、紡織教學,https://ribbon888.com
sammm._.studio,https://www.threads.com/@sammm._.studio,Sammm Studio,家具燈飾,台灣本土設計品牌，3D列印居家燈具，以設計喚醒居家生活感知,https://sammm.store
sg_tyc_tw_2024,https://www.threads.com/@sg_tyc_tw_2024,神兵工作所,其他,美國沙豹防身噴劑桃園經銷商，各類歐美及台灣品牌防身用品,
shuiyanchazhi,https://www.threads.com/@shuiyanchazhi,氵延 茶知 茶空間,食品農產,台灣野生山茶，從製茶到品茶，全預約制茶空間,
sleepynestbed,https://www.threads.com/@sleepynestbed,喜巢床鋪 Sleepy Nest,寢具床墊,嘉義製作床墊逾30年專業工廠，自產自銷，台灣製造手工床墊,https://sleepy-nest.com
snugsocks,https://www.threads.com/@snugsocks,sNug 給足呵護,服飾,2006年創立台灣製健康除臭襪，2025德國iF設計獎、法國設計金獎、台中十大伴手禮首獎,https://shop.snug.com.tw
standly_tw,https://www.threads.com/@standly_tw,STANDLY 詩丹德利,家具燈飾,彰化家具選品，實木升降桌訂製，彰化鹿港在地製造,https://standly.com.tw
taki_handmade_specs,https://www.threads.com/@taki_handmade_specs,滝製鏡所,飾品珠寶,台南製造手工眼鏡，為每張臉做一副剛剛好的眼鏡,
the_nnnoise,https://www.threads.com/@the_nnnoise,洛塵 手作公仔,藝術文創,台灣唯一正比手作公仔訂製，黏土/不織布人偶，真人/二次元皆可客製,https://lin.ee/lrKb4D6
timagical_fresh,https://www.threads.com/@timagical_fresh,寵舒樂 Ti Magical fresh,寵物用品,人寵友善居家清潔，光觸媒配方，通過SGS認證和TAF檢測,https://timagicalfresh.com
tings_aroma,https://www.threads.com/@tings_aroma,TINGS AROMA,香氛蠟燭,香氛蠟燭品牌，2025 TCOD獲獎，JCAA日本決賽入選，礦石水晶蠟燭藝術創作與課程,https://instagram.com/tings_aroma
tizilitsou___2000,https://www.threads.com/@tizilitsou___2000,梯子樂器 LITSOU,藝術文創,神岡山腳下的木琴工廠，台灣製造，目標傳承十代，目前第二代,https://litsou.my.canva.site
tomuwine,https://www.threads.com/@tomuwine,望山穗 Tomu Wine,食品農產,台灣在地釀酒品牌，梅酒、節氣風味，風土釀造,https://linktr.ee/tomuwine
tsutsumomo.1999,https://www.threads.com/@tsutsumomo.1999,100%織織不倦,藝術文創,夢幻鉤織藝術家，手工鉤針作品與客製服務,https://myship.7-11.com.tw
uhlith,https://www.threads.com/@uhlith,Uhlith Mimi秘蜜,食品農產,台灣在地老中藥行指定入藥用蜜，MIT天然熟成封蓋百花生蜂蜜,https://myship.7-11.com.tw
ujcbinbin,https://www.threads.com/@ujcbinbin,COCOLO,保養美妝,MIT保養品牌COCOLO,https://cocolo.instabio.cc/ujcbinbin
vita_via_ritter,https://www.threads.com/@vita_via_ritter,Ritter,文具玩具,少量製作生活質感用具，印刷設計相關產品,https://pinkoi.com/store/ritter
warry_cuteanimal,https://www.threads.com/@warry_cuteanimal,娃力小動物認養中心,藝術文創,扭扭棒手工動物公仔，卡套、背帶、手機架等創意延伸，萬粉品牌,
washcan,https://www.threads.com/@washcan,Washcan 瓦士肯居家生活,寢具床墊,台灣僅存飯店拖鞋工廠，飯店拖鞋、寢具、毛巾，環保轉型,https://washcan.com.tw
wooden.playy,https://www.threads.com/@wooden.playy,快樂女木匠,藝術文創,桃園南崁木工坊深耕20年，木作DIY課程、修繕、自由創作，4萬粉,
woolistudio19,https://www.threads.com/@woolistudio19,WOOLI,家具燈飾,木作工作室，居家收納、辦公用品，台灣設計製造,https://tw.shp.ee/21JXeKrZ
wuoshop,https://www.threads.com/@wuoshop,窩窩商店 wuoshop,藝術文創,台灣原創插畫設計，關注動物友善生活，動物保育文創品,https://shop.wuo-wuo.com
yi.ting_1999,https://www.threads.com/@yi.ting_1999,憶庭床墊,寢具床墊,床墊展品出清販售,https://myship.7-11.com.tw
yogurt_daddy1072,https://www.threads.com/@yogurt_daddy1072,Yogurt Daddy,食品農產,韓國乾式冷萃優格，台中，鮮奶製成天然無添加，蛋白質高低糖低脂,
yooeun.life,https://www.threads.com/@yooeun.life,侑恩臻選X孩享吃,寵物用品,人食級原料製作寵物零食，凍乾/營養粉/果萃/沖泡飲，純天然無負擔,https://myship.7-11.com.tw
z.j_mit,https://www.threads.com/@z.j_mit,ZHI JING 植淨,清潔保健,來自台灣的MIT清潔用品品牌，洗衣精、洗衣球，父母一輩子研究洗劑背景,https://myship.7-11.com.tw
,https://www.threads.com/@yeyes.taiwan,YÉYÉ’S,服飾,"Yéyé's 的故事始於家庭的傳承
品牌名稱源自中文的「爺爺」，象徵著品牌的靈魂與根源",https://www.yeyestaiwan.com/
,,Work Tuff Gear,戶外用品,在Work Tuff Gear，我們相信高品質的裝備應該和你一樣努力。作為一家成立於2018年的家族企業，我們熱衷於設計與製造能抵禦最嚴峻挑戰的高效能刀具與戶外工具——無論你是在荒野深處、工作中，或是面對日常冒險。,https://www.worktuffgear.com/
,,台中宥森工坊,家具桌椅,40年商用桌椅設計製造廠：實木、合板、金屬、陶瓷、玻璃等各種異材質產品創作結合,https://www.facebook.com/yusen26804355/
,https://www.threads.com/@shen_official_tw,SHEN森,保養美妝,"🌿台灣天然植萃保養品牌｜全膚質、全肌齡適用
🌿歐盟ECOCERT有機認證原料｜SGS檢驗通過
🌿有感、零負擔的養成健康肌｜看見肌膚森命力
森SHEN讓你成為更好的自己",https://www.shen2020.com.tw/
,,洽維無染,家居用品,"自然，環保，健康
無須染色、更加出色、簡單生活",https://www.nature-way.com.tw/
,,miixstudio,家居用品,"miixstudio 是一個從日常出發的台灣生活設計品牌，
在實用與美感之間，找到完美的平衡。
我們專注於細節、比例與手感，
為日常，留下一點風格。",miixstudio
,,床工場,寢具床墊,"【床工場生活館】
把每個朋友都當成家人一樣照顧
【堅持試躺】
都為了要將這份愛流傳下去",https://www.mattressfactory.com.tw/index.html
30leather,https://www.threads.com/@30leather,三十革,鞋類,台灣手工皮鞋品牌，十年手工製鞋，眾多回頭客推薦,
annsgirls,https://www.threads.com/@annsgirls,Ann's,鞋類,MIT女鞋品牌，好穿好走不磨腳，多年老牌眾多回購,
amaitw,https://www.threads.com/@amaitw,Amai,鞋類,MIT女鞋品牌，瑪莉珍鞋等多款好穿不磨腳,
boderek_shoes,https://www.threads.com/@boderek_shoes,Boderek,鞋類,MIT女鞋品牌，百貨專櫃，小編每雙穿三年以上耐穿不磨腳,
bruniishoes,https://www.threads.com/@bruniishoes,Brunii,鞋類,MIT真皮靴品牌，耐穿可修補鞋底再穿,
buffalo_1952,https://www.threads.com/@buffalo_1952,牛頭牌,鞋類,台灣品牌台灣製作，陪伴大家很久的老品牌,
chuan_shoes,https://www.threads.com/@chuan_shoes,川鞋,鞋類,MIT靴子品牌，出國上山下海走整天沒問題,
dannishoes_tw,https://www.threads.com/@dannishoes_tw,丹妮鞋屋,鞋類,內外全真皮、防潑水，可依照腳型訂製修改,
fmshoes_love,https://www.threads.com/@fmshoes_love,FM Shoes,鞋類,MIT女鞋品牌，耐穿好評,
hoqintainan,https://www.threads.com/@hoqintainan,HoQin,鞋類,台南手工鞋品牌,
icalledlove.tw,https://www.threads.com/@icalledlove.tw,I called Love,鞋類,中山赤峰實體店面，好穿有質感CP值高，久站出國都穿自家鞋,https://icalledlove.com
inooknitshoes,https://www.threads.com/@inooknitshoes,Inooknit,鞋類,MIT針織鞋品牌，好看又耐走,
keizu_shoes,https://www.threads.com/@keizu_shoes,Keizu,鞋類,台灣在地鞋廠，堅持MIT老師傅純手工製鞋,
labrisa.shoes,https://www.threads.com/@labrisa.shoes,Labrisa,鞋類,台灣品牌真皮靴，耐穿耐走踩雪也不滑,
lafilleshoes,https://www.threads.com/@lafilleshoes,La Fille,鞋類,台南手工鞋品牌,
oringoshoes,https://www.threads.com/@oringoshoes,林果良品,鞋類,Vibram大底查卡靴，MIT手工皮鞋品牌，100%台灣製造,
sanlyjoy_shoes,https://www.threads.com/@sanlyjoy_shoes,Sanly Joy,鞋類,台南手工真皮靴，好走好穿價格親民,
sdntaiwan,https://www.threads.com/@sdntaiwan,SDN Taiwan,鞋類,台南安南區全一條龍設計開發製造拖鞋，植鞣手工鞋日本也有販售,
snnshoes,https://www.threads.com/@snnshoes,SnN,鞋類,堅持MIT製鞋，傳承台灣鞋業王國工藝,
soundsgoodsocks,https://www.threads.com/@soundsgoodsocks,Sounds Good,鞋類,好看舒服保暖的MIT襪子品牌,
ststudio_shoes,https://www.threads.com/@ststudio_shoes,ST Studio,鞋類,真皮輕量好穿MIT女鞋,
wypexshoes,https://www.threads.com/@wypexshoes,Wypex,鞋類,真皮短靴好穿好走,https://wypex.co
xanadu_tw,https://www.threads.com/@xanadu_tw,Xanadu,鞋類,MIT鞋品牌，客服服務超好,
yehsido,https://www.threads.com/@yehsido,Yeh's I Do,鞋類,真皮靴楦頭版型自主開發設計，90%新北生產，寬楦極簡版型,
